"condition","std","replication","seed"
0,0,1,1
1,0,1,2
2,0,1,3
3,0,1,4
0,0.15,1,5
1,0.15,1,6
2,0.15,1,7
3,0.15,1,8
0,0.3,1,9
1,0.3,1,10
2,0.3,1,11
3,0.3,1,12
0,0.45,1,13
1,0.45,1,14
2,0.45,1,15
3,0.45,1,16
0,0.6,1,17
1,0.6,1,18
2,0.6,1,19
3,0.6,1,20
0,0,2,21
1,0,2,22
2,0,2,23
3,0,2,24
0,0.15,2,25
1,0.15,2,26
2,0.15,2,27
3,0.15,2,28
0,0.3,2,29
1,0.3,2,30
2,0.3,2,31
3,0.3,2,32
0,0.45,2,33
1,0.45,2,34
2,0.45,2,35
3,0.45,2,36
0,0.6,2,37
1,0.6,2,38
2,0.6,2,39
3,0.6,2,40
0,0,3,41
1,0,3,42
2,0,3,43
3,0,3,44
0,0.15,3,45
1,0.15,3,46
2,0.15,3,47
3,0.15,3,48
0,0.3,3,49
1,0.3,3,50
2,0.3,3,51
3,0.3,3,52
0,0.45,3,53
1,0.45,3,54
2,0.45,3,55
3,0.45,3,56
0,0.6,3,57
1,0.6,3,58
2,0.6,3,59
3,0.6,3,60
0,0,4,61
1,0,4,62
2,0,4,63
3,0,4,64
0,0.15,4,65
1,0.15,4,66
2,0.15,4,67
3,0.15,4,68
0,0.3,4,69
1,0.3,4,70
2,0.3,4,71
3,0.3,4,72
0,0.45,4,73
1,0.45,4,74
2,0.45,4,75
3,0.45,4,76
0,0.6,4,77
1,0.6,4,78
2,0.6,4,79
3,0.6,4,80
0,0,5,81
1,0,5,82
2,0,5,83
3,0,5,84
0,0.15,5,85
1,0.15,5,86
2,0.15,5,87
3,0.15,5,88
0,0.3,5,89
1,0.3,5,90
2,0.3,5,91
3,0.3,5,92
0,0.45,5,93
1,0.45,5,94
2,0.45,5,95
3,0.45,5,96
0,0.6,5,97
1,0.6,5,98
2,0.6,5,99
3,0.6,5,100
0,0,6,101
1,0,6,102
2,0,6,103
