"condition","std","replication","seed"
0,0,1,1
1,0,1,2
2,0,1,3
3,0,1,4
4,0,1,5
5,0,1,6
0,0.15,1,7
1,0.15,1,8
2,0.15,1,9
3,0.15,1,10
4,0.15,1,11
5,0.15,1,12
0,0.3,1,13
1,0.3,1,14
2,0.3,1,15
3,0.3,1,16
4,0.3,1,17
5,0.3,1,18
0,0.45,1,19
1,0.45,1,20
2,0.45,1,21
3,0.45,1,22
4,0.45,1,23
5,0.45,1,24
0,0.6,1,25
1,0.6,1,26
2,0.6,1,27
3,0.6,1,28
4,0.6,1,29
5,0.6,1,30
0,0,2,31
1,0,2,32
2,0,2,33
3,0,2,34
4,0,2,35
5,0,2,36
0,0.15,2,37
1,0.15,2,38
2,0.15,2,39
3,0.15,2,40
4,0.15,2,41
5,0.15,2,42
0,0.3,2,43
1,0.3,2,44
2,0.3,2,45
3,0.3,2,46
4,0.3,2,47
5,0.3,2,48
0,0.45,2,49
1,0.45,2,50
2,0.45,2,51
3,0.45,2,52
4,0.45,2,53
5,0.45,2,54
0,0.6,2,55
1,0.6,2,56
2,0.6,2,57
3,0.6,2,58
4,0.6,2,59
5,0.6,2,60
0,0,3,61
1,0,3,62
2,0,3,63
3,0,3,64
4,0,3,65
5,0,3,66
0,0.15,3,67
1,0.15,3,68
2,0.15,3,69
3,0.15,3,70
4,0.15,3,71
5,0.15,3,72
0,0.3,3,73
1,0.3,3,74
2,0.3,3,75
3,0.3,3,76
4,0.3,3,77
5,0.3,3,78
0,0.45,3,79
1,0.45,3,80
2,0.45,3,81
3,0.45,3,82
4,0.45,3,83
5,0.45,3,84
0,0.6,3,85
1,0.6,3,86
2,0.6,3,87
3,0.6,3,88
4,0.6,3,89
5,0.6,3,90
0,0,4,91
1,0,4,92
2,0,4,93
3,0,4,94
4,0,4,95
5,0,4,96
0,0.15,4,97
1,0.15,4,98
2,0.15,4,99
3,0.15,4,100
4,0.15,4,101
5,0.15,4,102
0,0.3,4,103
